batch_id,carbon_pct,manganese_pct,furnace_temp_C,rolling_speed_mps,cooling_rate_Cps,defect
B100119,0.49,0.797,1554.8,5.0,19.25,0
B100120,0.495,0.866,1652.0,24.14,13.36,0
B100121,0.291,0.944,1595.6,19.04,8.07,0
B100122,0.568,0.671,1615.7,14.9,9.59,1
B100123,0.232,0.963,1583.1,24.81,13.9,0
B100124,0.47,1.359,1649.4,30.26,23.09,0
B100125,0.663,0.667,1566.6,24.65,13.5,1
B100126,0.281,1.252,1592.5,17.77,11.44,0
B100127,0.332,1.349,1643.2,14.34,4.44,0
B100128,0.412,0.655,1664.5,20.87,24.08,1
B100129,0.34,0.463,1571.2,25.24,18.41,0
B100130,0.214,0.991,1707.8,17.68,19.78,1
B100131,0.408,0.736,1617.2,18.26,20.77,0
B100132,0.273,1.461,1542.6,36.93,14.01,1
B100133,0.457,0.91,1620.3,26.47,15.51,0
B100134,0.29,0.659,1578.9,26.9,23.93,1
B100135,0.586,0.556,1623.9,11.24,16.08,0
B100136,0.306,1.227,1597.6,15.76,18.53,0
B100137,0.361,0.729,1604.1,20.45,20.22,0
B100138,0.498,0.913,1549.9,13.99,18.86,0
B100139,0.252,1.187,1654.5,29.6,14.23,0
B100140,0.427,0.755,1536.4,28.46,14.8,0
B100141,0.557,0.886,1539.0,16.8,19.67,0
B100142,0.207,0.895,1620.2,30.7,19.66,0
B100143,0.422,1.105,1688.2,19.97,22.01,0
B100144,0.431,1.077,1580.6,35.54,18.31,0
B100145,0.494,0.834,1638.6,20.87,18.58,0
B100146,0.252,0.919,1659.0,23.46,12.32,0
B100147,0.242,0.788,1644.8,28.4,11.51,0
B100148,0.463,0.457,1582.9,27.67,19.68,0
B100149,0.436,0.977,1540.0,23.06,11.55,1
B100150,0.43,1.468,1478.6,19.15,14.88,1
B100151,0.442,0.635,1585.5,23.08,23.27,0
B100152,0.318,0.668,1664.8,15.1,22.32,0
B100153,0.428,0.639,1538.2,20.91,16.81,0
B100154,0.435,1.117,1638.5,13.34,13.22,0
B100155,0.314,1.035,1547.7,9.31,14.26,0
B100156,0.624,0.852,1605.8,20.3,20.21,1
B100157,0.457,0.625,1638.9,27.57,14.78,1
B100158,0.257,0.928,1563.7,25.55,11.65,0
B100159,0.479,0.431,1609.4,19.51,22.29,0
B100160,0.283,0.943,1577.2,30.48,16.09,0
B100161,0.494,1.161,1638.8,16.59,11.54,0
B100162,0.539,0.525,1612.9,8.49,17.87,0
B100163,0.302,0.44,1603.1,6.91,20.83,0
B100164,0.516,1.374,1685.7,12.91,8.95,1
B100165,0.45,0.716,1636.4,24.9,13.8,0
B100166,0.499,1.241,1562.0,16.19,13.52,0
B100167,0.628,0.854,1595.3,22.77,17.71,0
B100168,0.371,0.851,1595.8,29.88,18.79,0
B100169,0.31,1.032,1604.4,13.4,11.69,0
B100170,0.293,0.635,1738.8,22.87,6.04,0
B100171,0.302,0.94,1620.4,23.23,21.19,0
B100172,0.391,0.786,1488.0,14.84,8.28,0
B100173,0.441,0.504,1570.1,28.13,16.63,1
B100174,0.433,1.001,1493.7,18.27,14.21,1
B100175,0.499,0.821,1581.9,17.7,15.97,0
B100176,0.402,0.853,1490.7,32.67,24.91,1
B100177,0.574,0.537,1552.1,23.14,33.23,0
B100178,0.368,1.377,1516.4,25.55,5.2,1
B100179,0.726,1.163,1621.1,28.13,20.9,1
B100180,0.475,1.189,1600.0,16.1,14.06,0
B100181,0.297,0.808,1616.7,27.5,21.29,0
B100182,0.271,0.381,1594.2,16.99,20.74,0
B100183,0.458,1.486,1523.3,16.73,23.46,0
B100184,0.373,0.882,1628.2,18.37,16.71,0
B100185,0.486,0.675,1705.7,16.27,9.66,1
B100186,0.457,1.025,1622.5,24.93,20.57,0
B100187,0.391,1.25,1576.6,21.6,15.71,0
B100188,0.298,0.893,1521.5,17.05,13.6,0
B100189,0.218,1.284,1550.1,24.05,12.14,0
B100190,0.346,1.225,1624.9,18.35,21.04,0
B100191,0.503,0.577,1659.0,18.03,24.62,0
B100192,0.426,0.698,1614.3,20.29,7.83,0
B100193,0.251,1.187,1644.0,22.78,18.73,1
B100194,0.421,0.1,1638.9,22.34,12.77,0
B100195,0.446,0.855,1627.9,17.82,6.2,0
B100196,0.294,0.471,1563.8,25.08,15.89,1
B100197,0.418,0.757,1609.6,18.67,10.0,0
B100198,0.407,0.81,1553.3,16.07,5.53,0
B100199,0.263,0.793,1601.0,11.19,10.31,0
B100200,0.443,0.734,1618.2,25.9,8.83,0
B100201,0.467,0.571,1692.3,20.07,11.12,0
B100202,0.53,1.588,1528.0,21.27,7.04,1
B100203,0.526,1.46,1626.5,26.27,12.63,0
B100204,0.235,0.551,1681.5,17.14,10.72,0
B100205,0.287,1.375,1641.7,11.75,17.25,0
B100206,0.462,0.78,1645.8,20.42,18.56,0
B100207,0.462,0.939,1632.3,21.85,16.56,0
B100208,0.462,0.881,1671.4,18.42,13.59,0
B100209,0.862,0.702,1540.2,28.84,13.43,1
B100210,0.469,1.195,1523.8,5.08,9.98,0
B100211,0.536,0.938,1599.7,26.72,10.12,0
B100212,0.514,0.757,1481.1,24.75,19.22,1
B100213,0.478,0.509,1667.7,22.74,4.44,0
B100214,0.362,0.632,1667.1,5.0,14.52,0
B100215,0.491,0.408,1576.2,27.7,13.06,0
B100216,0.307,0.904,1579.6,13.84,18.59,0
B100217,0.372,0.541,1596.0,16.95,6.45,1
B100218,0.342,0.82,1602.9,18.98,15.07,0
B100219,0.41,1.311,1607.0,22.44,17.06,1
B100220,0.678,1.26,1630.7,23.84,3.57,1
B100221,0.176,0.89,1590.5,25.36,8.55,0
B100222,0.482,0.874,1651.9,24.9,14.45,0
B100223,0.206,1.464,1624.5,21.52,18.08,0
B100224,0.343,1.056,1566.6,22.5,16.09,0
B100225,0.531,0.802,1673.4,13.46,18.36,0
B100226,0.408,0.472,1525.3,15.49,8.52,1
B100227,0.271,1.018,1594.9,25.37,5.47,0
B100228,0.314,1.149,1653.2,25.02,15.51,0
B100229,0.482,0.711,1560.2,24.34,7.62,0
B100230,0.312,0.987,1617.0,16.91,9.81,0
B100231,0.426,0.791,1629.9,25.46,20.59,0
B100232,0.405,0.845,1552.7,13.03,16.13,1
B100233,0.322,0.154,1596.0,26.46,11.59,0
B100234,0.657,0.833,1591.4,18.43,10.81,0
B100235,0.476,1.191,1569.7,30.11,18.73,0
B100236,0.157,0.711,1726.6,10.87,16.27,1
B100237,0.422,0.916,1558.0,30.58,7.71,1
B100238,0.321,0.673,1655.3,17.83,3.31,0
B100239,0.502,1.008,1578.4,17.72,26.29,0
B100240,0.305,0.835,1540.2,21.17,7.67,0
B100241,0.386,0.618,1605.7,15.82,18.17,0
B100242,0.461,1.3,1635.7,19.57,24.06,1
B100243,0.504,1.179,1650.6,15.57,15.89,0
B100244,0.256,0.719,1685.9,15.79,11.4,1
B100245,0.36,1.049,1750.0,22.92,6.44,1
B100246,0.343,1.061,1613.8,14.59,6.36,0
B100247,0.322,1.093,1563.5,15.39,17.26,0
B100248,0.612,0.392,1624.9,11.76,23.71,0
B100249,0.449,1.202,1585.4,16.98,12.63,0
B100250,0.249,0.729,1650.9,27.87,11.67,0
B100251,0.51,0.793,1528.7,14.92,19.18,0
B100252,0.655,1.691,1730.3,15.61,10.88,1
B100253,0.524,0.991,1647.1,21.16,16.65,0
B100254,0.218,0.784,1507.4,17.78,15.25,0
B100255,0.342,0.238,1561.0,33.37,12.54,0
B100256,0.552,1.317,1644.9,19.02,14.91,0
B100257,0.315,0.496,1664.7,22.01,25.58,0
B100258,0.453,0.599,1530.0,25.66,18.63,0
B100259,0.493,0.801,1639.2,25.55,21.56,0
B100260,0.289,1.325,1492.9,21.4,9.49,1
B100261,0.393,1.132,1595.1,19.03,21.58,0
B100262,0.05,0.853,1661.2,32.14,18.83,0
B100263,0.277,0.992,1569.7,19.4,6.0,0
B100264,0.37,0.72,1517.1,17.35,18.24,0
B100265,0.25,0.942,1608.0,16.12,11.92,0
B100266,0.596,0.922,1566.7,9.64,5.73,1
B100267,0.228,1.191,1634.6,24.93,15.78,1
B100268,0.347,1.19,1551.3,5.91,18.23,0
B100269,0.416,1.048,1557.5,19.97,15.91,0
B100270,0.573,0.791,1488.8,18.77,14.35,1
B100271,0.228,1.123,1609.3,33.44,13.02,0
B100272,0.54,0.872,1591.2,9.01,29.8,0
B100273,0.401,0.575,1534.6,14.59,7.9,0
B100274,0.282,0.779,1610.7,19.18,20.24,0
B100275,0.455,0.925,1656.5,18.81,15.09,0
B100276,0.424,1.173,1588.1,16.7,9.87,0
B100277,0.328,0.845,1614.7,19.51,14.71,0
B100278,0.408,0.537,1615.0,12.44,6.64,0
B100279,0.354,0.917,1533.8,22.14,11.43,1
B100280,0.414,0.934,1713.1,6.07,14.72,1
B100281,0.479,0.956,1574.1,19.85,5.69,0
B100282,0.59,1.176,1636.1,16.4,18.04,0
B100283,0.251,1.206,1642.3,26.1,9.22,1
B100284,0.656,0.722,1592.3,30.53,6.29,1
B100285,0.166,0.715,1633.4,18.01,8.52,0
B100286,0.382,0.588,1613.5,28.34,28.06,0
B100287,0.471,1.11,1522.0,18.1,3.13,0
B100288,0.434,1.335,1581.7,14.2,17.62,1
B100289,0.325,0.805,1566.3,30.48,10.49,0
B100290,0.375,0.828,1574.6,23.12,12.9,0
B100291,0.341,1.34,1528.3,20.03,18.62,0
B100292,0.329,1.052,1662.0,24.12,18.33,0
B100293,0.502,1.031,1688.1,21.65,10.92,0
B100294,0.443,0.543,1653.8,19.58,6.85,0
B100295,0.317,1.104,1669.9,12.04,18.73,0
B100296,0.508,0.621,1581.0,18.38,18.31,0
B100297,0.437,0.56,1565.0,23.74,13.29,0
B100298,0.498,0.796,1557.2,19.26,17.65,0
B100299,0.476,0.724,1635.4,25.41,12.33,0
B100300,0.301,0.834,1612.5,22.3,10.04,0
B100301,0.333,0.468,1595.8,14.73,15.02,0
B100302,0.49,1.188,1671.2,12.08,18.11,0
B100303,0.473,1.238,1622.3,19.06,16.86,0
B100304,0.397,0.316,1553.9,16.85,18.05,0
B100305,0.414,1.194,1562.6,22.02,10.44,0
B100306,0.553,0.657,1637.5,15.69,24.49,1
B100307,0.329,1.157,1657.3,16.31,12.95,0
B100308,0.466,0.879,1630.3,26.32,14.29,1
B100309,0.376,0.909,1704.3,20.89,7.09,0
B100310,0.374,0.844,1689.9,15.78,13.84,0
B100311,0.532,1.264,1624.3,20.11,18.19,0
B100312,0.499,0.528,1553.9,28.27,19.58,0
B100313,0.498,1.082,1528.0,21.76,24.37,0
B100314,0.557,1.23,1578.7,23.56,18.12,0
B100315,0.403,1.115,1641.4,15.49,16.66,0
B100316,0.482,1.597,1700.5,26.16,12.32,0
B100317,0.363,0.741,1623.0,33.91,11.03,0
B100318,0.439,1.187,1664.3,15.25,20.82,1
B100319,0.384,0.868,1586.5,12.91,20.71,0
B100320,0.412,1.27,1634.3,21.05,8.54,0
B100321,0.471,0.898,1645.3,25.25,19.34,0
B100322,0.302,0.784,1491.1,19.45,18.9,0
B100323,0.651,1.292,1577.3,13.68,8.32,1
B100324,0.279,0.753,1652.2,19.35,18.24,0
B100325,0.254,0.476,1615.1,23.59,8.7,0
B100326,0.539,0.745,1534.2,17.56,2.0,1
B100327,0.495,1.086,1466.3,23.64,14.04,1
B100328,0.475,1.318,1579.9,26.99,16.55,0
B100329,0.475,0.933,1596.1,21.44,14.31,0
B100330,0.399,1.295,1551.4,19.83,32.2,0
B100331,0.292,0.493,1607.9,24.98,17.27,0
B100332,0.409,0.767,1627.9,14.86,15.88,0
B100333,0.319,0.813,1636.9,14.27,17.58,1
B100334,0.517,0.866,1470.4,18.4,12.35,1
B100335,0.382,0.925,1527.7,17.05,20.58,0
B100336,0.301,1.107,1583.2,15.18,17.17,0
B100337,0.361,0.767,1631.5,30.98,16.89,1
B100338,0.45,0.942,1626.9,33.03,11.26,1
B100339,0.332,0.886,1626.0,17.88,5.61,0
B100340,0.301,0.622,1578.9,20.55,11.99,1
B100341,0.429,0.866,1582.0,18.87,16.7,0
B100342,0.429,0.857,1559.9,26.64,12.33,0
B100343,0.339,0.85,1642.3,27.83,16.75,0
B100344,0.343,0.91,1549.4,9.34,13.61,0
B100345,0.428,0.923,1646.8,22.86,17.58,1
B100346,0.226,0.77,1611.4,12.16,9.14,0
B100347,0.231,1.282,1597.5,30.55,16.16,0
B100348,0.314,0.549,1563.9,22.64,11.15,0
B100349,0.374,0.684,1525.4,15.06,5.77,0
B100350,0.437,1.734,1564.4,18.55,14.01,0
B100351,0.577,0.589,1581.8,18.27,24.22,0
B100352,0.503,0.494,1469.7,23.15,6.25,1
B100353,0.381,1.12,1589.1,26.25,15.72,0
B100354,0.398,0.277,1650.8,13.11,19.79,0
B100355,0.28,0.829,1631.2,31.03,28.8,0
B100356,0.398,1.544,1572.7,29.63,12.04,0
B100357,0.365,0.437,1602.6,14.75,11.21,0
B100358,0.439,0.305,1569.4,20.44,8.0,0
B100359,0.301,0.45,1608.2,30.26,21.84,0
B100360,0.462,1.17,1684.7,27.4,9.8,1
B100361,0.584,1.237,1653.3,17.98,12.78,1
B100362,0.387,0.746,1628.6,24.89,3.91,0
B100363,0.448,1.105,1572.9,37.98,20.3,0
B100364,0.483,1.317,1641.2,20.63,21.95,0
B100365,0.352,1.436,1507.2,16.2,20.07,1
B100366,0.427,0.826,1586.1,21.03,5.37,0
B100367,0.402,0.21,1632.1,21.48,18.64,0
B100368,0.412,0.654,1640.7,16.85,4.96,0
B100369,0.307,0.772,1636.8,22.65,15.35,0
B100370,0.403,0.822,1616.2,12.47,16.23,0
B100371,0.46,0.844,1589.2,16.01,16.86,0
B100372,0.574,1.236,1629.6,24.55,18.21,1
B100373,0.515,1.282,1547.6,9.47,14.95,0
B100374,0.658,0.848,1553.5,25.42,3.23,1
B100375,0.308,1.23,1603.4,7.93,18.21,0
B100376,0.505,1.007,1609.5,9.61,15.59,0
B100377,0.422,0.919,1499.6,17.01,9.58,0
B100378,0.663,1.172,1625.0,21.72,5.58,1
B100379,0.303,0.922,1642.5,27.95,24.24,0
B100380,0.299,1.517,1595.7,20.35,22.39,0
B100381,0.328,0.468,1730.6,18.52,19.24,1
B100382,0.145,0.745,1562.4,23.48,10.94,1
B100383,0.337,0.862,1580.1,14.77,2.0,0
B100384,0.309,1.032,1578.3,20.84,19.59,0
B100385,0.418,1.28,1595.8,12.8,17.2,0
B100386,0.441,0.893,1581.9,20.5,12.75,0
B100387,0.625,0.473,1522.6,19.22,21.75,1
B100388,0.514,1.153,1569.9,15.17,20.09,1
B100389,0.331,1.126,1594.6,20.99,16.06,1
B100390,0.292,0.317,1667.6,20.95,15.21,0
B100391,0.459,0.899,1721.1,27.05,15.31,1
B100392,0.242,0.423,1673.5,10.37,19.08,1
B100393,0.62,0.701,1557.4,19.54,9.86,1
B100394,0.542,0.629,1561.7,15.44,17.56,0
B100395,0.344,1.143,1591.2,25.22,9.48,0
B100396,0.194,0.935,1698.2,24.52,23.02,0
B100397,0.562,0.514,1590.9,23.05,18.19,0
B100398,0.386,1.164,1527.0,15.78,10.87,0
B100399,0.549,0.47,1572.4,25.31,15.48,0
B100400,0.209,0.999,1641.6,10.82,9.88,0
B100401,0.328,0.656,1637.9,9.59,24.02,0
B100402,0.401,0.79,1589.0,12.34,24.74,0
B100403,0.406,1.051,1637.6,19.8,19.18,0
B100404,0.346,1.056,1475.0,24.05,24.34,1
B100405,0.475,1.301,1605.7,5.0,15.91,0
B100406,0.272,0.875,1647.3,27.94,19.58,0
B100407,0.383,0.992,1554.2,20.79,22.35,0
B100408,0.414,0.769,1554.0,10.59,14.97,0
B100409,0.462,0.955,1497.3,20.61,15.43,0
B100410,0.485,1.032,1687.4,26.56,20.6,0
B100411,0.265,0.871,1560.4,23.6,18.88,0
B100412,0.216,0.359,1613.3,26.59,10.47,0
B100413,0.553,0.999,1633.2,11.8,2.0,1
B100414,0.44,1.009,1683.2,17.52,13.95,0
B100415,0.31,0.696,1591.5,14.45,2.42,0
B100416,0.586,0.515,1570.3,30.31,9.05,1
B100417,0.414,1.343,1609.5,23.84,9.75,0
B100418,0.542,1.047,1670.6,37.08,11.59,1
B100419,0.408,0.831,1590.6,17.19,19.92,0
B100420,0.647,0.559,1547.5,15.65,21.23,1
B100421,0.611,0.653,1515.3,19.14,18.05,0
B100422,0.37,1.291,1532.8,28.27,18.8,1
B100423,0.517,0.941,1647.5,17.8,18.94,0
B100424,0.477,0.735,1582.4,20.75,2.0,0
B100425,0.564,1.053,1566.6,20.58,15.06,0
B100426,0.284,0.656,1560.6,20.24,4.22,1
B100427,0.482,1.35,1604.7,16.09,18.05,0
B100428,0.527,1.306,1586.8,19.18,2.44,0
B100429,0.189,0.76,1585.0,18.92,13.92,0
B100430,0.258,0.711,1674.2,19.95,18.29,0
B100431,0.155,0.115,1684.6,25.66,8.29,1
B100432,0.368,0.456,1511.4,30.56,20.77,1
B100433,0.486,0.498,1618.0,14.96,18.04,0
B100434,0.58,0.941,1557.3,17.65,17.28,0
B100435,0.409,0.802,1586.3,15.05,19.19,0
B100436,0.595,0.496,1617.0,21.12,12.84,0
B100437,0.234,0.816,1588.3,16.77,15.91,0
B100438,0.196,1.052,1612.7,21.44,15.06,1
B100439,0.393,1.058,1637.0,26.62,14.92,0
B100440,0.446,0.33,1616.2,5.0,10.97,0
B100441,0.396,0.862,1564.4,22.95,7.54,0
B100442,0.152,0.485,1565.4,17.24,12.98,0
B100443,0.389,1.171,1520.8,22.76,12.65,0
B100444,0.243,1.135,1553.0,14.62,10.58,0
B100445,0.48,0.631,1707.9,27.18,20.11,0
B100446,0.444,0.67,1556.4,25.48,7.97,0
B100447,0.287,0.762,1534.4,23.41,13.97,0
B100448,0.338,0.224,1617.6,24.76,22.0,0
B100449,0.273,1.001,1593.9,15.53,20.45,0
B100450,0.392,0.818,1589.2,16.28,22.3,0
B100451,0.515,1.191,1677.5,24.51,11.46,1
B100452,0.282,0.57,1630.2,15.39,19.71,0
B100453,0.46,0.714,1570.9,28.67,8.62,0
B100454,0.336,0.448,1576.7,18.06,13.34,0
B100455,0.305,0.599,1572.4,23.01,13.91,0
B100456,0.387,0.545,1648.1,32.6,11.54,1
B100457,0.276,1.199,1583.1,15.76,12.83,1
B100458,0.334,0.691,1501.4,20.41,12.04,0
B100459,0.256,0.937,1597.3,26.33,9.11,0
B100460,0.636,0.786,1515.5,25.71,20.14,1
B100461,0.404,0.519,1720.1,18.03,13.91,1
B100462,0.316,0.85,1546.9,16.9,16.21,0
B100463,0.426,1.08,1591.1,18.6,15.98,0
B100464,0.387,0.538,1614.2,28.69,15.33,0
B100465,0.373,1.143,1584.1,18.33,15.56,0
B100466,0.474,0.645,1584.0,20.47,13.17,0
B100467,0.491,0.755,1623.2,17.44,23.51,0
B100468,0.336,1.059,1683.9,24.23,19.56,0
B100469,0.331,0.701,1642.2,20.93,15.11,1
B100470,0.367,0.911,1681.3,13.98,12.32,0
B100471,0.124,0.806,1542.4,14.19,14.29,0
B100472,0.218,0.939,1617.5,8.01,17.51,1
B100473,0.564,0.186,1608.5,15.01,24.0,0
B100474,0.597,0.351,1619.3,24.76,6.76,0
B100475,0.37,1.085,1675.7,27.94,18.96,0
B100476,0.469,1.211,1587.9,24.11,21.76,0
B100477,0.437,0.627,1577.7,23.33,6.08,0
B100478,0.769,0.827,1629.4,19.24,13.91,1
B100479,0.534,0.988,1502.2,24.65,8.61,1
B100480,0.385,1.108,1587.0,21.72,17.58,0
B100481,0.285,0.292,1592.6,30.83,12.85,0
B100482,0.207,0.634,1549.4,19.41,14.22,1
B100483,0.424,0.8,1658.1,28.06,12.53,1
B100484,0.309,1.111,1541.6,25.24,19.32,1
B100485,0.229,1.65,1592.5,24.41,16.37,0
B100486,0.322,0.832,1616.1,7.93,16.39,0
B100487,0.27,0.478,1674.4,25.58,15.96,0
B100488,0.602,1.021,1599.4,19.23,18.43,0
B100489,0.506,1.296,1651.5,17.34,13.43,0
B100490,0.399,0.932,1638.5,11.1,25.2,0
B100491,0.578,0.628,1606.8,19.97,7.59,0
B100492,0.409,1.187,1540.1,20.2,4.64,0
B100493,0.297,1.099,1521.1,12.18,4.15,0
B100494,0.583,0.592,1605.9,11.16,2.52,0
B100495,0.465,1.014,1570.2,22.92,19.04,0
B100496,0.276,1.199,1650.6,25.23,18.31,0
B100497,0.377,1.255,1641.0,21.14,22.25,0
B100498,0.295,0.88,1589.8,26.91,8.66,0
B100499,0.234,0.793,1536.3,19.48,19.47,0
B100500,0.511,1.268,1628.1,19.67,15.34,0
B100501,0.629,0.537,1544.0,14.5,16.0,1
B100502,0.232,1.032,1558.3,10.64,18.75,0
B100503,0.468,0.489,1546.1,31.13,10.46,0
B100504,0.322,1.22,1592.4,26.79,30.52,0
B100505,0.342,0.823,1664.4,11.64,22.99,0
B100506,0.329,1.281,1599.7,20.93,11.81,0
B100507,0.296,1.047,1575.6,19.4,8.46,0
B100508,0.406,0.533,1516.1,18.36,14.47,1
B100509,0.3,1.327,1630.4,17.55,16.09,0
B100510,0.432,1.365,1557.1,22.29,21.39,0
B100511,0.394,1.165,1606.5,24.91,7.99,0
B100512,0.371,0.672,1580.5,22.41,16.71,0
B100513,0.291,0.808,1646.1,19.28,5.83,0
